Width, Slice , Area, Plate , 1st Y, Y, Scanned Length, Volume
19.658, 2.66055, 22.8045, -2.32662, -224.764, 148.915, 332.951, 11750
32.3203, 2.80858, 52.1949, -2.86124, -224.764, 152.068, 335.76, 11896.6
23.2753, 2.56885, 42.7803, -3.57592, -224.764, 154.951, 338.329, 12006.5
27.8774, 2.84218, 42.1163, -1.54207, -224.764, 158.14, 341.171, 12126.2
20.0169, 2.88063, 22.183, -2.20937, -224.764, 161.373, 344.052, 12190.1
25.0779, 2.89911, 52.6368, -4.08864, -224.764, 164.627, 346.951, 12342.7
29.3355, 2.76551, 45.0017, -1.9323, -224.764, 167.731, 349.716, 12467.2
33.799, 2.87588, 56.7919, -2.97078, -224.764, 170.959, 352.592, 12630.5
24.8414, 2.63452, 51.2846, -4.04681, -224.764, 173.915, 355.227, 12765.6
25.5193, 2.9176, 41.3599, -0.777407, -224.764, 177.19, 358.144, 12886.3
30.1327, 2.68405, 48.2416, -2.07845, -224.764, 180.202, 360.828, 13015.8
21.4276, 2.63487, 31.6385, -2.91644, -224.764, 183.159, 363.463, 13099.1
29.8206, 2.94456, 46.4452, -1.97267, -224.764, 186.464, 366.408, 13235.9
17.5933, 2.72342, 10.0579, -1.15075, -224.764, 189.521, 369.131, 13263.3
18.2085, 2.66588, 12.4876, -1.36244, -224.764, 192.513, 371.797, 13296.6
25.9097, 2.89015, 56.642, -4.29764, -224.764, 195.756, 374.687, 13460.3
18.0947, 2.81012, 9.8631, -1.12113, -224.764, 198.91, 377.497, 13488
27.4532, 2.72712, 65.0821, -4.62491, -224.764, 201.971, 380.224, 13665.5
18.3822, 2.83905, 14.6396, -1.57091, -224.764, 205.157, 383.063, 13707
22.3911, 2.95359, 36.1571, -3.17639, -224.764, 208.472, 386.017, 13813.8
19.5241, 2.78352, 20.0985, -2.01417, -224.764, 211.596, 388.801, 13869.8
19.0796, 2.71221, 17.8788, -1.80473, -224.764, 214.64, 391.513, 13918.3
37.8087, 2.98652, 105.362, -6.05597, -224.764, 217.992, 394.499, 14232.9
27.1865, 0.517022, 28.5742, -2.61942, -224.764, 218.572, 395.016, 14247.7
27.221, 0.0412784, 28.4109, -2.57899, -224.764, 218.619, 395.058, 14248.9
