J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
192, 0.0289453, 0.0289289, -0.000102623, -9.82894e-05, -2.26303e-06, -2.34974e-06
193, 0.0288398, 0.0288253, -0.000103566, -0.00010015, -1.86033e-06, -2.04302e-06
194, 0.0287348, 0.0287211, -0.000104185, -0.00010167, -1.52047e-06, -1.75189e-06
195, 0.028628, 0.0286165, -0.000104627, -0.000102896, -1.22581e-06, -1.47896e-06
196, 0.0285173, 0.0285113, -0.000105157, -0.000103866, -9.7043e-07, -1.22594e-06
197, 0.0284043, 0.0284054, -0.000105982, -0.000104619, -7.52384e-07, -9.91256e-07
198, 0.0282905, 0.0282987, -0.00010666, -0.000105165, -5.46111e-07, -7.71241e-07
199, 0.0281801, 0.0281922, -0.000106542, -0.000105497, -3.3199e-07, -5.66807e-07
200, 0.0280769, 0.0280861, -0.000106071, -0.00010566, -1.6306e-07, -3.8752e-07
201, 0.0279723, 0.02798, -0.0001061, -0.000105729, -6.87606e-08, -2.38616e-07
202, 0.0278664, 0.0278737, -0.000106277, -0.000105693, 3.53654e-08, -1.13547e-07
203, 0.0277623, 0.0277673, -0.000106454, -0.000105554, 1.39483e-07, -9.03949e-09
204, 0.0276577, 0.0276608, -0.000106483, -0.00010531, 2.43593e-07, 7.81814e-08
205, 0.0275532, 0.0275546, -0.000106159, -0.000104959, 3.51626e-07, 1.50736e-07
206, 0.0274535, 0.027449, -0.00010557, -0.000104529, 4.30213e-07, 2.07442e-07
207, 0.0273542, 0.027344, -0.000105069, -0.000104102, 4.26264e-07, 2.46207e-07
208, 0.0272483, 0.0272394, -0.000104597, -0.000103729, 3.73233e-07, 2.68341e-07
209, 0.0271407, 0.0271357, -0.000103654, -0.000103373, 3.55567e-07, 2.76461e-07
210, 0.0270312, 0.0270332, -0.000102535, -0.000103032, 3.418e-07, 2.67425e-07
211, 0.02692, 0.0269317, -0.000101503, -0.000102694, 3.37884e-07, 2.40446e-07
212, 0.0268119, 0.026831, -0.000100708, -0.000102358, 3.35938e-07, 1.95657e-07
213, 0.0267069, 0.0267308, -0.000100207, -0.000102053, 3.0448e-07, 1.3489e-07
214, 0.0266041, 0.0266306, -0.000100148, -0.000101804, 2.49479e-07, 6.33851e-08
215, 0.0265079, 0.0265302, -0.000100472, -0.000101635, 1.68946e-07, -9.82097e-09
216, 0.0264175, 0.0264294, -0.000100766, -0.000101582, 5.30481e-08, -7.71345e-08
217, 0.0263284, 0.0263282, -0.00010115, -0.000101682, -1.00185e-07, -1.38295e-07
218, 0.0262398, 0.0262269, -0.000101385, -0.000101947, -2.65191e-07, -1.93952e-07
219, 0.0261471, 0.0261254, -0.000101444, -0.000102375, -4.28251e-07, -2.46992e-07
220, 0.0260501, 0.0260238, -0.000101592, -0.000102935, -5.59878e-07, -2.97809e-07
221, 0.0259513, 0.025922, -0.000101827, -0.000103578, -6.42356e-07, -3.44691e-07
222, 0.0258471, 0.0258195, -0.000102535, -0.00010425, -6.71827e-07, -3.86861e-07
223, 0.0257368, 0.0257157, -0.000103802, -0.000104886, -6.3647e-07, -4.2078e-07
224, 0.0256234, 0.0256105, -0.000105157, -0.000105448, -5.61848e-07, -4.41997e-07
225, 0.0255104, 0.025504, -0.000106513, -0.000105941, -4.93055e-07, -4.48938e-07
226, 0.0253984, 0.0253961, -0.000107927, -0.000106399, -4.57714e-07, -4.39641e-07
227, 0.025288, 0.025287, -0.000109106, -0.000106825, -4.26306e-07, -4.12924e-07
228, 0.0251795, 0.0251771, -0.000109842, -0.000107224, -3.98763e-07, -3.73241e-07
229, 0.0250661, 0.0250669, -0.000110225, -0.000107607, -3.83059e-07, -3.25704e-07
230, 0.0249509, 0.0249569, -0.000110019, -0.000107947, -3.39846e-07, -2.74367e-07
231, 0.0248402, 0.0248477, -0.000109194, -0.000108212, -2.65208e-07, -2.25649e-07
232, 0.0247307, 0.0247391, -0.000108546, -0.000108416, -2.04295e-07, -1.84132e-07
233, 0.0246209, 0.0246309, -0.000108251, -0.000108542, -1.25733e-07, -1.47203e-07
234, 0.0245105, 0.024523, -0.000107839, -0.000108569, -2.75092e-08, -1.11713e-07
235, 0.0244024, 0.0244155, -0.000107573, -0.000108534, 3.53737e-08, -7.84463e-08
236, 0.0242979, 0.0243079, -0.000107573, -0.000108463, 7.0706e-08, -4.55771e-08
237, 0.0241968, 0.0242003, -0.000107632, -0.000108365, 9.82235e-08, -1.19209e-08
238, 0.0240989, 0.0240925, -0.00010778, -0.000108271, 9.42912e-08, 1.9903e-08
239, 0.0239952, 0.0239843, -0.000108222, -0.00010821, 6.09126e-08, 4.77991e-08
240, 0.0238867, 0.0238759, -0.000108398, -0.000108149, 6.08795e-08, 7.37282e-08
241, 0.0237808, 0.0237675, -0.00010834, -0.000108074, 7.46383e-08, 9.46825e-08
242, 0.0236744, 0.0236589, -0.000108575, -0.000108002, 7.26928e-08, 1.08042e-07
243, 0.0235659, 0.0235502, -0.000108782, -0.000107907, 9.42747e-08, 1.18256e-07
244, 0.0234516, 0.0234414, -0.000108752, -0.000107786, 1.21784e-07, 1.27031e-07
245, 0.0233342, 0.0233328, -0.000108605, -0.000107648, 1.37513e-07, 1.34495e-07
246, 0.0232168, 0.0232245, -0.000108281, -0.000107495, 1.53234e-07, 1.42222e-07
247, 0.0231048, 0.0231169, -0.000107632, -0.00010731, 1.84642e-07, 1.48637e-07
248, 0.0229958, 0.0230098, -0.000107132, -0.000107122, 1.88582e-07, 1.49425e-07
249, 0.0228819, 0.022903, -0.000106748, -0.000106949, 1.72878e-07, 1.46283e-07
250, 0.0227707, 0.0227969, -0.000106159, -0.00010676, 1.88582e-07, 1.40127e-07
251, 0.0226666, 0.0226911, -0.000105747, -0.000106558, 2.02333e-07, 1.27949e-07
252, 0.0225678, 0.0225855, -0.00010557, -0.000106348, 2.10189e-07, 1.12235e-07
253, 0.0224747, 0.0224801, -0.000105481, -0.000106137, 2.10189e-07, 9.65187e-08
254, 0.0223807, 0.0223746, -0.000105452, -0.00010598, 1.57149e-07, 8.26358e-08
255, 0.0222797, 0.022269, -0.00010557, -0.000105908, 7.26928e-08, 7.22916e-08
256, 0.0221796, 0.0221633, -0.000105746, -0.00010588, 2.75092e-08, 6.71849e-08
257, 0.0220821, 0.0220575, -0.000105746, -0.0001059, -1.9653e-08, 6.96729e-08
258, 0.0219797, 0.0219518, -0.000105747, -0.000105988, -8.83887e-08, 8.13283e-08
259, 0.0218681, 0.0218462, -0.000105599, -0.000106102, -1.13928e-07, 1.02808e-07
260, 0.021752, 0.0217407, -0.000105452, -0.0001062, -9.82318e-08, 1.3018e-07
261, 0.0216351, 0.0216348, -0.000105923, -0.000106255, -5.50101e-08, 1.6397e-07
262, 0.0215212, 0.0215283, -0.000106542, -0.000106226, 2.94795e-08, 2.13737e-07
263, 0.0214096, 0.0214216, -0.000106719, -0.000106114, 1.11982e-07, 2.86289e-07
264, 0.0212957, 0.0213145, -0.000107043, -0.000105904, 2.10197e-07, 3.80975e-07
265, 0.0211845, 0.021207, -0.000107485, -0.00010554, 3.63414e-07, 5.00284e-07
266, 0.0210826, 0.0210996, -0.000107456, -0.000105016, 5.24529e-07, 6.45651e-07
267, 0.020986, 0.0209925, -0.000107043, -0.000104395, 6.20766e-07, 8.13283e-07
268, 0.0208858, 0.0208862, -0.000106306, -0.000103678, 7.17044e-07, 1.0024e-06
269, 0.0207826, 0.0207812, -0.00010501, -0.000102774, 9.03648e-07, 1.20945e-06
270, 0.0206789, 0.0206773, -0.00010389, -0.000101613, 1.16098e-06, 1.4258e-06
271, 0.0205739, 0.0205747, -0.000102594, -0.000100165, 1.4478e-06, 1.65118e-06
272, 0.0204698, 0.0204744, -0.000100295, -9.83955e-05, 1.76998e-06, 1.88233e-06
273, 0.0203679, 0.0203766, -9.78786e-05, -9.63034e-05, 2.09212e-06, 2.10825e-06
274, 0.0202624, 0.0202803, -9.62877e-05, -9.39028e-05, 2.40055e-06, 2.32748e-06
275, 0.0201574, 0.0201856, -9.46963e-05, -9.11644e-05, 2.73845e-06, 2.54907e-06
276, 0.0200599, 0.0200932, -9.23686e-05, -8.81136e-05, 3.05079e-06, 2.77209e-06
