J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
105,0.00994858,0.00994465,-4.32E-06,-4.27E-06,-4.80E-07,-6.29E-07
106,0.00994058,0.00993955,-5.10E-06,-4.61E-06,-3.38E-07,-4.83E-07
107,0.00993479,0.00993391,-5.64E-06,-4.76E-06,-1.47E-07,-2.81E-07
108,0.009929,0.00992792,-5.99E-06,-4.78E-06,-2.18E-08,-4.50E-08
109,0.00992056,0.00992208,-5.84E-06,-4.69E-06,9.28E-08,2.13E-07
110,0.00991212,0.00991708,-5.00E-06,-4.42E-06,2.67E-07,4.60E-07
111,0.00990677,0.00991301,-4.07E-06,-3.99E-06,4.26E-07,6.33E-07
112,0.00990364,0.00990958,-3.43E-06,-3.49E-06,5.08E-07,7.12E-07
113,0.00990271,0.00990679,-2.79E-06,-2.94E-06,5.46E-07,7.25E-07
114,0.00990356,0.00990488,-1.91E-06,-2.43E-06,5.08E-07,6.75E-07
115,0.00990396,0.00990361,-1.27E-06,-2.08E-06,3.55E-07,5.47E-07
116,0.00990392,0.00990254,-1.07E-06,-1.91E-06,1.69E-07,3.58E-07
117,0.00990387,0.00990147,-1.07E-06,-1.88E-06,2.73E-08,1.43E-07
118,0.00990339,0.0099002,-1.27E-06,-1.98E-06,-1.04E-07,-7.91E-08
119,0.0099007,0.00989839,-1.81E-06,-2.23E-06,-2.46E-07,-2.80E-07
120,0.00989712,0.00989584,-2.55E-06,-2.56E-06,-3.33E-07,-4.11E-07
121,0.00989398,0.00989266,-3.19E-06,-2.91E-06,-3.49E-07,-4.50E-07
122,0.00989129,0.00988893,-3.73E-06,-3.26E-06,-3.44E-07,-4.13E-07
123,0.00988727,0.00988481,-4.12E-06,-3.55E-06,-2.95E-07,-3.11E-07
124,0.00988104,0.00988055,-4.27E-06,-3.72E-06,-1.69E-07,-1.49E-07
125,0.00987525,0.00987633,-4.22E-06,-3.71E-06,1.09E-08,5.19E-08
126,0.00987034,0.00987216,-4.17E-06,-3.53E-06,1.75E-07,2.62E-07
127,0.00986633,0.00986824,-3.92E-06,-3.23E-06,3.06E-07,4.75E-07
128,0.0098623,0.00986491,-3.33E-06,-2.82E-06,4.04E-07,6.69E-07
129,0.00985917,0.00986246,-2.45E-06,-2.36E-06,4.69E-07,8.12E-07
130,0.00985648,0.00986085,-1.61E-06,-1.86E-06,4.91E-07,8.86E-07
131,0.00985599,0.00985987,-9.74E-07,-1.36E-06,5.08E-07,9.03E-07
132,0.00985728,0.00985939,-4.83E-07,-8.76E-07,4.80E-07,8.81E-07
133,0.009859,0.00985935,-4.10E-08,-4.72E-07,4.04E-07,8.30E-07
134,0.00986073,0.00985955,2.04E-07,-1.67E-07,3.06E-07,7.53E-07
135,0.00986158,0.00985995,4.01E-07,7.88E-08,2.46E-07,6.71E-07
136,0.00986198,0.00986035,4.01E-07,2.97E-07,2.18E-07,5.80E-07
137,0.00986193,0.00986066,3.03E-07,4.94E-07,1.96E-07,4.86E-07
138,0.00986101,0.00986096,3.02E-07,6.57E-07,1.64E-07,3.94E-07
139,0.00986008,0.00986156,5.97E-07,8.21E-07,1.64E-07,2.93E-07
140,0.0098596,0.00986255,9.90E-07,9.63E-07,1.42E-07,1.60E-07
141,0.00986,0.00986383,1.29E-06,1.07E-06,1.04E-07,-5.44E-09
142,0.00986173,0.00986526,1.43E-06,1.10E-06,3.82E-08,-1.88E-07
143,0.00986611,0.00986694,1.68E-06,1.01E-06,-9.82E-08,-3.75E-07
144,0.00987049,0.00986862,1.68E-06,7.17E-07,-2.89E-07,-5.73E-07
145,0.00987354,0.00986995,1.33E-06,2.75E-07,-4.42E-07,-7.56E-07
146,0.00987482,0.0098706,6.46E-07,-2.60E-07,-5.35E-07,-8.96E-07
147,0.00987611,0.00987002,-5.81E-07,-8.44E-07,-5.84E-07,-9.77E-07
148,0.00987519,0.00986801,-2.01E-06,-1.47E-06,-6.28E-07,-9.69E-07
149,0.00987161,0.00986503,-2.99E-06,-2.06E-06,-5.89E-07,-8.77E-07
150,0.00986582,0.0098615,-3.53E-06,-2.52E-06,-4.58E-07,-7.65E-07
151,0.00985649,0.00985767,-3.82E-06,-2.80E-06,-2.84E-07,-6.81E-07
152,0.00984805,0.0098537,-3.97E-06,-2.87E-06,-6.55E-08,-6.45E-07
153,0.00984359,0.00985007,-3.63E-06,-2.79E-06,7.64E-08,-6.70E-07
154,0.00984178,0.00984728,-2.79E-06,-2.79E-06,5.43E-09,-8.06E-07
155,0.00984041,0.00984537,-1.91E-06,-2.98E-06,-1.96E-07,-1.11E-06
156,0.00984037,0.0098442,-1.17E-06,-3.43E-06,-4.42E-07,-1.59E-06
157,0.00984254,0.00984289,-1.32E-06,-4.15E-06,-7.26E-07,-2.27E-06
158,0.00984648,0.00983995,-2.94E-06,-5.29E-06,-1.14E-06,-3.14E-06
159,0.00984865,0.00983465,-5.30E-06,-6.95E-06,-1.66E-06,-4.13E-06
160,0.00984596,0.00982685,-7.80E-06,-9.17E-06,-2.22E-06,-5.26E-06
161,0.00983619,0.00981634,-1.05E-05,-1.20E-05,-2.79E-06,-6.50E-06
162,0.00981714,0.0098025,-1.38E-05,-1.53E-05,-3.38E-06,-7.85E-06
163,0.0097941,0.00978477,-1.77E-05,-1.93E-05,-3.98E-06,-9.25E-06
164,0.00977019,0.00976287,-2.19E-05,-2.40E-05,-4.69E-06,-1.06E-05
165,0.00974583,0.00973655,-2.63E-05,-2.94E-05,-5.42E-06,-1.19E-05
166,0.00971794,0.00970482,-3.17E-05,-3.56E-05,-6.13E-06,-1.31E-05
167,0.00968695,0.00966602,-3.88E-05,-4.23E-05,-6.71E-06,-1.41E-05
168,0.00965154,0.00961853,-4.75E-05,-4.94E-05,-7.15E-06,-1.48E-05
169,0.00960905,0.00956195,-5.66E-05,-5.69E-05,-7.47E-06,-1.51E-05
170,0.00955066,0.00949623,-6.57E-05,-6.45E-05,-7.59E-06,-1.50E-05
171,0.00946794,0.00942201,-7.42E-05,-7.19E-05,-7.41E-06,-1.44E-05
172,0.00936666,0.00933993,-8.21E-05,-7.87E-05,-6.82E-06,-1.35E-05
173,0.00926095,0.00925078,-8.92E-05,-8.46E-05,-5.85E-06,-1.22E-05
174,0.00915436,0.00915613,-9.47E-05,-8.94E-05,-4.85E-06,-1.07E-05
175,0.00904999,0.00905775,-9.84E-05,-9.32E-05,-3.83E-06,-8.94E-06
176,0.00894826,0.00895759,-0.000100154,-9.62E-05,-2.95E-06,-7.09E-06
177,0.00884919,0.00885744,-0.000100154,-9.83E-05,-2.13E-06,-5.33E-06
178,0.00875719,0.00875724,-0.000100203,-9.97E-05,-1.34E-06,-3.82E-06
179,0.00866519,0.00865703,-0.000100203,-0.000100247,-5.84E-07,-2.54E-06
180,0.00856656,0.00855629,-0.000100743,-0.000100258,-1.09E-08,-1.51E-06
181,0.00846527,0.00845505,-0.000101235,-0.00010005,2.07E-07,-6.78E-07
182,0.00835912,0.00835382,-0.000101235,-9.98E-05,2.18E-07,-6.28E-08
183,0.00825254,0.00825391,-9.99E-05,-9.96E-05,2.67E-07,3.04E-07
184,0.00814329,0.00815543,-9.85E-05,-9.93E-05,2.95E-07,3.62E-07
